exercise_id,csv_title,source,per_exercise_max_after_clip,global_clip_p99,chest,anterior_delts,lateral_delts,rear_delts,upper_traps,rhomboids,triceps,biceps,brachialis,lats,quads,hamstrings,glutes,adductors,erectors,calves,abs
ab_wheel,Ab Wheel Rollout (Kółko),Marchetti 2017,48.0,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bench_press,Wyciskanie Leżąc (Bench Press),Coratella 2019 / Soncin 2014,114.94,135.6188,1.0,0.186184,0.043501,0.030451,0.0,0.0,0.598399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird_dog,Bird Dog (Pies-ptak),Losavio 2023,87.5,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.92,0.0,0.0
bulgarian_split_squat,Bulgarian Split Squat,Andersen 2014,81.7,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.194614,0.537209,0.0,0.437821,0.0,0.0
chest_press_machine,Chest Press (Maszyna siedząc),Coratella 2023,95.83,135.6188,1.0,0.250443,0.0,0.0,0.0,0.0,0.125222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
close_grip_bench,Close Grip Bench Press,Soncin 2014 + Lehman 2005,119.504,135.6188,1.0,0.616632,0.0,0.0,0.0,0.0,0.657886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dead_bug,Dead Bug (60 bpm - wolne tempo),Byeong-Gwon Yun 2017,83.152,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
deadlift,Martwy Ciąg (Deadlift),Martin-Fuentes 2020,75.0,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.821333,0.0,0.858667,0.0,0.0
decline_bench,Decline Bench Press,Lauver 2015,114.66,135.6188,1.0,0.50846,0.0,0.0,0.0,0.0,0.891331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dips,Dips (Pompki na poręczach - szerokie),Bagchi 2015 / McKenzie 2022,90.72,135.6188,1.0,0.71649,0.275573,0.0,0.0,0.0,0.876653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440917
dumbbell_flyes,Rozpiętki (Dumbbell Flyes),Sousa 2022 / Campos 2020,59.22,135.6188,1.0,0.31746,0.057413,0.042215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
farmers_walk,Farmer’s Walk,Ellestad 2024,22.89,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.870249
high_bar_squat,High Bar Squat,Yavuz 2015,48.8,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.532172,0.0,0.0,0.0,0.0
incline_bench,Incline Bench Press,Rodríguez-Ridao 2020 / Lauver 2015,114.3,135.6188,0.951706,0.795276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incline_bench_45,Incline Bench Press (45°),Lauver 2015,135.6188,135.6188,1.0,0.718927,0.0,0.0,0.0,0.0,0.868611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat_pulldown,Lat Pulldown,Buonsenso 2025,49.0,135.6188,0.0,0.0,0.0,0.612245,0.0,0.77551,0.0,0.55102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_curl,Leg Curl (Uginanie nóg),Schoenfeld 2015,68.0,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
leg_extension,Leg Extension,Alkner 2019,81.0,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_press,Leg Press,Da Silva 2008,58.0,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.310345,0.337931,0.0,0.0,0.0,0.0
leg_raises,Wznosy nóg w zwisie,Escamilla 2006,123.2,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170455,0.121753,0.0,0.0,0.0,0.039773,0.0,1.0
low_bar_squat,Low Bar Przysiad (Squat),Park 2022,35.9,135.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232033,1.0,0.600557,0.729805,0.0
